country,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_n2o
Spain,0.0015497076023391813,0.002415204678362573,0.0005789473684210527,0.0001345029239766082
Sri Lanka,0.00029239766081871346,0.0004444444444444444,7.017543859649122e-05,0.0
St. Kitts-Nevis-Anguilla (GCP),,,,
St. Kitts-Nevis-Anguilla (Jones et al. 2023),0.0,0.0,,
Sudan,0.00030994152046783625,0.0009473684210526316,0.0003801169590643275,4.6783625730994155e-05
Suriname,0.0,0.0,0.0,0.0
Svalbard and Jan Mayen,,,,
Sweden,0.0010233918128654971,0.0013742690058479532,0.00029239766081871346,0.0
Switzerland,0.00029239766081871346,0.00046198830409356726,0.0,0.0
Syria,0.00014035087719298245,0.0003976608187134503,0.00019298245614035088,0.0
Taiwan,0.0005614035087719298,0.0007894736842105264,0.00017543859649122806,0.0
Tajikistan,0.0,0.0001695906432748538,0.0,0.0
Tanzania,0.0010116959064327487,0.0015730994152046785,0.00039181286549707604,1.7543859649122806e-05
Thailand,0.002421052631578947,0.003906432748538012,0.0013274853801169592,1.1695906432748539e-05
Togo,0.0,0.0,0.0,0.0
Tonga,0.0,0.0,0.0,0.0
Trinidad and Tobago,7.60233918128655e-05,0.00018128654970760234,6.432748538011695e-05,0.0
Tunisia,6.432748538011695e-05,0.00023976608187134505,0.0,0.0
Turkey,0.0010175438596491228,0.001976608187134503,0.0006666666666666666,0.00018713450292397662
Turkmenistan,0.0003391812865497076,0.0007076023391812866,0.00029824561403508774,0.0
Turks and Caicos Islands,0.0,0.0,0.0,0.0
Tuvalu,0.0,0.0,0.0,0.0
Uganda,0.00038596491228070175,0.0006959064327485381,0.0001345029239766082,0.0
Ukraine,0.005485380116959065,0.008198830409356725,0.002239766081871345,0.0003391812865497076
United Arab Emirates,0.0002105263157894737,0.0005087719298245614,0.00027485380116959066,0.0
United Kingdom,0.0147953216374269,0.01886549707602339,0.003573099415204678,0.00046198830409356726
United States,0.08350877192982456,0.10452046783625732,0.01732748538011696,0.003649122807017544
United States Virgin Islands,,,,
Upper-middle-income countries,0.08885964912280701,0.13885964912280702,0.04409941520467837,0.005935672514619883
Uruguay,0.0005146198830409356,0.0009824561403508772,0.0004327485380116959,0.0
Uzbekistan,0.0006842105263157895,0.001304093567251462,0.0004912280701754386,0.0
Vanuatu,0.0,0.0,0.0,0.0
Venezuela,0.0018771929824561405,0.003754385964912281,0.0017777777777777776,0.0
Vietnam,0.0019064327485380117,0.003064327485380117,0.0011052631578947368,0.0
Wallis and Futuna,0.0,0.0,,
Western Sahara,,,,
World,0.3175087719298245,0.4692690058479532,0.12950292397660818,0.022216374269005846
Yemen,0.0,0.00012280701754385965,8.187134502923977e-05,0.0
Zambia,0.0007017543859649122,0.0010233918128654971,0.000152046783625731,0.0
Zimbabwe,0.0002280701754385965,0.00046198830409356726,0.0001111111111111111,0.0
