chem_key,methane,nitrous_oxide
205862,0.58,0.12
205863,0.58,0.12
205864,0.55,0.12
205865,0.55,0.12
205866,0.55,0.12
205867,0.6,0.13
205868,0.58,0.12
205869,0.58,0.12
205870,0.59,0.12
205871,0.63,0.13
205872,0.57,0.11
205873,0.52,0.11
205874,0.51,0.11
205875,0.51,0.11
205876,0.52,0.11
205877,0.59,0.13
205878,0.57,0.12
205879,0.61,0.16
205880,0.51,0.11
205881,0.54,0.12
205882,0.57,0.14
205883,0.55,0.12
205884,0.57,0.15
205885,0.54,0.12
205886,0.52,0.13
205887,0.51,0.12
205888,0.5,0.11
205889,0.5,0.11
205890,0.48,0.12
205891,0.47,0.11
206034,18.79,7.45
206035,19.33,7.58
206036,19.75,7.69
206037,19.25,7.82
206038,19.0,7.98
206039,18.39,8.12
206040,20.46,7.2
206041,21.75,7.51
206042,21.8,7.84
206043,26.23,9.54
206044,19.65,6.81
206045,18.47,7.04
206046,21.55,9.58
206047,20.3,7.6
206048,26.67,13.5
206049,24.91,10.75
206050,25.56,11.01
206051,27.87,12.91
206052,25.34,9.72
206053,24.12,8.49
206054,34.3,18.93
206055,27.4,10.46
206056,27.9,9.99
206057,28.08,9.09
206058,27.85,8.44
206059,29.05,9.79
206060,29.94,10.74
206061,29.01,9.74
206062,28.81,9.82
206063,33.41,15.22
206378,5.18,1.12
206379,5.11,0.99
206380,3.35,0.89
206381,2.57,0.81
206382,2.51,0.68
206383,2.29,0.58
206384,2.53,0.51
206385,2.96,0.63
206386,3.27,0.82
206387,3.4,0.86
206388,3.62,0.94
206389,3.51,0.81
206390,2.89,0.8
206391,3.14,0.78
206392,3.32,0.97
206393,3.41,0.92
206394,3.61,0.94
206395,3.79,0.94
206396,3.89,0.9
206397,4.0,1.22
206398,3.8,1.2
206399,3.89,1.35
206400,3.81,1.43
206401,3.8,1.33
206402,3.55,1.43
206403,3.6,1.48
206404,3.58,1.36
206405,3.53,1.36
206406,3.7,1.28
206407,3.66,1.34
206550,5.68,4.62
206551,5.35,4.43
206552,5.15,4.3
206553,4.97,4.18
206554,5.22,4.33
206555,5.7,4.64
206556,6.46,5.5
206557,6.16,5.2
206558,5.75,4.7
206559,5.65,4.57
206560,5.36,4.33
206561,6.27,5.41
206562,6.26,5.59
206563,2.9,1.94
206564,3.15,2.21
206565,3.7,2.76
206566,4.67,3.8
206567,3.72,2.76
206568,7.88,7.25
206569,3.63,2.62
206570,9.06,8.44
206571,11.14,10.69
206572,5.19,4.39
206573,4.62,3.89
206574,3.13,2.52
206575,2.89,2.21
206576,2.47,1.84
206577,3.85,3.54
206578,2.79,2.39
206579,2.02,1.54
206722,287.86,110.59
206723,296.99,114.52
206724,302.35,116.19
206725,303.42,118.96
206726,309.75,122.42
206727,315.71,124.37
206728,308.66,116.15
206729,317.47,120.17
206730,333.88,130.43
206731,334.3,129.22
206732,329.29,124.7
206733,342.1,132.15
206734,364.28,146.0
206735,379.86,150.88
206736,397.21,162.1
206737,406.19,162.58
206738,399.48,156.38
206739,405.27,167.54
206740,399.07,155.2
206741,400.98,149.81
206742,427.55,175.06
206743,420.56,167.57
206744,424.63,170.54
206745,419.57,168.35
206746,426.63,176.57
206747,434.96,176.37
206748,436.21,179.65
206749,435.98,190.0
206750,426.39,180.39
206751,435.88,187.29
207165,1.42,0.09
207166,1.51,0.09
207167,1.59,0.1
207168,1.67,0.09
207169,1.63,0.09
207170,1.66,0.09
207171,1.57,0.09
207172,1.64,0.1
207173,2.67,0.18
207174,1.64,0.11
207175,1.75,0.11
207176,1.69,0.12
207177,1.77,0.11
207178,1.92,0.12
207179,1.89,0.12
207180,1.84,0.12
207181,2.04,0.13
207182,1.92,0.13
207183,2.0,0.13
207184,1.81,0.13
207185,1.81,0.14
207186,1.86,0.13
207187,1.82,0.15
207188,1.66,0.15
207189,1.68,0.15
207190,1.58,0.14
207191,1.58,0.15
207192,1.64,0.14
207193,1.62,0.15
207194,1.59,0.15
207337,16.37,8.25
207338,15.35,7.05
207339,14.81,5.24
207340,13.52,4.53
207341,11.72,4.57
207342,12.01,4.34
207343,12.07,4.43
207344,11.57,4.15
207345,11.07,3.58
207346,10.66,3.32
207347,10.6,3.73
207348,9.97,3.92
207349,9.44,4.33
207350,9.84,4.44
207351,9.33,4.34
207352,8.91,3.96
207353,8.52,3.23
207354,8.6,3.6
207355,8.32,3.81
207356,7.97,3.79
207357,7.82,3.73
207358,8.07,4.37
207359,7.78,3.45
207360,7.52,3.78
207361,7.5,3.86
207362,7.42,4.03
207363,7.13,4.05
207364,7.1,4.12
207365,6.96,4.13
207366,6.84,4.16
207509,7.7,5.06
207510,7.91,5.27
207511,8.09,5.37
207512,8.24,5.45
207513,8.41,5.71
207514,8.65,5.83
207515,8.56,5.75
207516,8.8,5.99
207517,9.33,6.22
207518,9.03,6.25
207519,9.77,6.78
207520,8.38,5.86
207521,8.71,6.22
207522,10.75,7.54
207523,11.08,7.74
207524,11.4,8.03
207525,11.33,7.85
207526,11.61,7.99
207527,12.01,8.15
207528,12.44,8.34
207529,13.04,8.72
207530,13.3,8.71
207531,13.37,8.79
207532,13.76,9.08
207533,14.06,9.15
207534,14.26,9.24
207535,15.03,9.75
207536,15.26,9.79
207537,15.43,9.91
207538,15.85,10.12
207681,0.61,1.03
207682,0.62,1.04
207683,0.62,1.06
207684,0.6,1.04
207685,0.55,0.99
207686,0.56,1.03
207687,0.57,1.03
207688,0.58,1.04
207689,0.51,1.11
207690,0.53,1.15
207691,0.53,1.15
207692,0.54,1.16
207693,0.52,1.15
207694,0.54,1.16
207695,0.57,1.2
207696,0.6,1.22
207697,0.66,1.27
207698,0.7,1.29
207699,0.75,1.34
207700,0.83,1.4
207701,0.93,1.49
207702,1.01,1.56
207703,1.01,1.6
207704,1.21,1.76
207705,1.17,1.76
207706,1.16,1.74
207707,1.32,1.88
207708,1.61,2.1
207709,1.61,2.16
207710,1.35,2.03
207953,14.46,4.94
207954,14.05,5.0
207955,14.35,5.18
207956,15.04,5.27
207957,13.81,5.23
207958,16.16,5.52
207959,14.22,3.64
207960,15.21,3.86
207961,17.69,4.64
207962,17.3,4.59
207963,16.04,4.12
207964,15.83,5.26
207965,16.96,6.42
207966,18.57,7.06
207967,18.72,7.71
207968,18.48,6.1
207969,20.26,7.43
207970,20.49,7.49
207971,20.29,7.09
207972,20.8,7.4
207973,20.26,6.57
207974,21.73,7.55
207975,20.53,6.63
207976,20.46,6.72
207977,19.82,6.55
207978,19.95,7.07
207979,20.2,6.64
207980,20.48,6.98
207981,19.75,6.24
207982,19.5,6.12
208125,11.5,5.86
208126,15.63,5.82
208127,15.53,5.85
208128,14.31,5.87
208129,13.02,61.66
208130,13.03,61.64
208131,14.09,61.71
208132,14.37,61.86
208133,16.85,62.99
208134,16.32,62.65
208135,16.82,63.18
208136,14.88,62.49
208137,14.81,62.55
208138,16.23,63.95
208139,14.76,62.56
208140,16.02,63.91
208141,14.66,62.68
208142,14.4,62.49
208143,14.35,62.57
208144,13.84,62.2
208145,13.91,62.58
208146,13.62,62.46
208147,13.78,62.29
208148,14.42,62.54
208149,14.59,62.28
208150,15.52,62.38
208151,15.85,62.63
208152,15.42,62.59
208153,15.6,62.5
208154,15.98,62.63
208362,69.89,40.95
208363,71.15,40.67
208364,73.63,41.18
208365,75.22,40.96
208366,76.94,43.01
208367,79.95,44.34
208368,84.39,48.15
208369,83.89,44.8
208370,91.04,44.6
208371,86.69,38.91
208372,86.01,36.35
208373,85.76,34.82
208374,87.38,36.14
208375,88.21,36.98
208376,90.62,38.99
208377,91.39,39.95
208378,93.3,35.83
208379,92.04,39.96
208380,88.28,40.25
208381,85.23,37.13
208382,85.74,37.62
208383,86.73,40.22
208384,87.34,42.51
208385,90.1,42.06
208386,92.23,41.52
208387,92.95,41.95
208388,94.83,40.66
208389,99.25,41.58
208390,103.28,44.44
208391,102.7,42.59
208534,0.08,0.05
208535,0.08,0.06
208536,0.09,0.08
208537,0.09,0.08
208538,0.08,0.06
208539,0.09,0.08
208540,0.08,0.05
208541,0.08,0.06
208542,0.08,0.08
208543,0.08,0.08
208544,0.08,0.08
208545,0.08,0.08
208546,0.08,0.08
208547,0.08,0.08
208548,0.09,0.08
208549,0.09,0.08
208550,0.09,0.08
208551,0.09,0.08
208552,0.09,0.08
208553,0.09,0.09
208554,0.1,0.1
208555,0.09,0.06
208556,0.09,0.06
208557,0.09,0.07
208558,0.09,0.07
208559,0.09,0.07
208560,0.1,0.07
208561,0.09,0.06
208562,0.09,0.06
208563,0.09,0.06
208706,16.54,15.93
208707,16.74,16.04
208708,16.76,16.06
208709,16.78,16.08
208710,16.86,18.5
208711,16.93,18.55
208712,11.82,12.3
208713,14.23,13.19
208714,17.54,15.02
208715,15.4,13.42
208716,15.54,14.49
208717,18.01,20.14
208718,16.03,17.94
208719,22.78,25.25
208720,17.54,19.5
208721,20.62,22.8
208722,20.14,22.22
208723,21.28,23.32
208724,21.14,23.23
208725,16.01,17.6
208726,19.61,21.49
208727,20.89,22.69
208728,18.65,20.23
208729,18.06,19.54
208730,16.69,18.02
208731,17.64,19.01
208732,21.1,22.71
208733,18.82,20.18
208734,18.87,20.18
208735,15.67,16.65
209050,10.22,6.68
209051,14.47,8.83
209052,15.05,9.12
209053,15.65,9.51
209054,16.27,9.84
209055,16.97,10.16
209056,18.98,11.32
209057,20.28,11.68
209058,23.64,12.86
209059,24.7,13.6
209060,24.42,14.14
209061,21.99,11.47
209062,25.15,12.51
209063,23.79,13.43
209064,26.89,13.92
209065,28.04,14.55
209066,29.04,15.11
209067,30.51,16.13
209068,31.19,16.16
209069,31.71,16.0
209070,33.85,17.48
209071,35.54,18.34
209072,37.42,19.46
209073,38.79,19.69
209074,40.5,20.45
209075,44.19,22.01
209076,47.06,24.02
209077,48.31,24.27
209078,51.21,25.76
209079,53.05,26.28
209222,10.07,4.74
209223,10.24,4.74
209224,10.5,4.94
209225,10.84,5.15
209226,11.21,5.45
209227,11.47,5.75
209228,11.73,5.99
209229,12.23,6.25
209230,12.42,6.3
209231,12.55,6.57
209232,12.46,6.61
209233,12.29,6.53
209234,12.11,6.64
209235,11.95,6.37
209236,11.95,6.9
209237,11.82,6.62
209238,11.58,6.8
209239,11.26,7.32
209240,11.76,8.15
209241,11.82,8.01
209242,12.31,8.24
209243,12.41,7.74
209244,12.68,7.74
209245,11.59,7.23
209246,10.9,6.87
209247,10.85,7.12
209248,10.96,6.56
209249,11.64,7.21
209250,11.43,6.61
209251,11.67,6.85
209394,765.84,296.17
209395,775.53,303.72
209396,781.19,309.6
209397,790.54,301.41
209398,812.96,314.95
209399,850.31,358.59
209400,858.79,384.61
209401,813.78,356.53
209402,815.85,365.59
209403,810.42,381.21
209404,810.19,376.06
209405,802.87,378.28
209406,795.72,396.99
209407,821.23,401.56
209408,867.68,417.36
209409,905.26,427.61
209410,944.44,440.46
209411,975.03,449.39
209412,994.45,465.24
209413,1024.1,476.12
209414,1073.15,488.57
209415,1121.46,497.54
209416,1122.85,509.57
209417,1147.21,522.8
209418,1161.42,534.42
209419,1159.87,549.62
209420,1120.35,552.67
209421,1131.63,548.88
209422,1159.28,545.19
209423,1176.34,552.28
209737,56.52,18.28
209738,56.22,18.26
209739,57.29,18.22
209740,58.44,18.54
209741,59.79,18.79
209742,61.18,18.87
209743,62.15,18.56
209744,62.42,18.65
209745,63.69,18.99
209746,61.83,18.25
209747,62.19,18.83
209748,62.68,19.19
209749,62.51,19.42
209750,63.91,20.24
209751,64.98,20.77
209752,65.03,20.79
209753,65.4,21.33
209754,67.35,23.1
209755,68.24,22.06
209756,69.26,22.21
209757,71.88,22.75
209758,70.58,22.09
209759,68.93,21.63
209760,69.67,20.31
209761,69.8,21.07
209762,69.76,20.57
209763,69.75,20.71
209764,71.08,21.64
209765,74.5,23.07
209766,76.9,22.97
209909,0.15,0.04
209910,0.16,0.04
209911,0.16,0.04
209912,0.16,0.04
209913,0.16,0.04
209914,0.17,0.04
209915,0.17,0.04
209916,0.17,0.04
209917,0.17,0.05
209918,0.18,0.05
209919,0.16,0.04
209920,0.17,0.04
209921,0.17,0.05
209922,0.17,0.04
209923,0.17,0.04
209924,0.18,0.06
209925,0.19,0.04
209926,0.17,0.04
209927,0.19,0.05
209928,0.19,0.04
209929,0.2,0.05
209930,0.22,0.05
209931,0.22,0.05
209932,0.23,0.05
209933,0.24,0.05
209934,0.24,0.05
209935,0.25,0.05
209936,0.25,0.05
209937,0.26,0.05
209938,0.27,0.05
2010081,5.15,1.64
2010082,5.14,1.65
2010083,5.38,1.65
2010084,5.27,1.65
2010085,4.84,1.66
2010086,5.18,1.66
2010087,5.46,1.0
2010088,5.9,1.02
2010089,6.64,1.02
2010090,7.0,1.04
2010091,7.02,0.91
2010092,6.61,0.94
2010093,5.62,1.17
2010094,6.22,1.76
2010095,6.56,1.8
2010096,7.62,2.04
2010097,8.53,2.11
2010098,7.16,1.9
2010099,7.33,1.88
2010100,7.89,1.82
2010101,8.85,2.11
2010102,8.66,2.24
2010103,8.06,2.12
2010104,7.57,2.22
2010105,7.2,1.92
2010106,7.29,2.22
2010107,7.19,2.34
2010108,7.58,2.15
2010109,9.09,2.3
2010110,9.45,2.24
2010252,0.01,0.0
2010253,0.01,0.0
2010254,0.01,0.0
2010255,0.01,0.0
2010256,0.01,0.0
2010257,0.01,0.0
2010258,0.02,0.0
2010259,0.02,0.0
2010260,0.02,0.0
2010261,0.01,0.0
2010262,0.01,0.0
2010263,0.01,0.0
2010264,0.01,0.0
2010265,0.01,0.0
2010266,0.01,0.0
2010267,0.01,0.0
2010268,0.01,0.0
2010269,0.01,0.0
2010270,0.01,0.0
2010271,0.01,0.0
2010272,0.01,0.0
2010273,0.01,0.0
2010274,0.01,0.0
2010275,0.01,0.0
2010276,0.01,0.0
2010277,0.01,0.0
2010278,0.01,0.0
2010279,0.01,0.0
